2025-10-04 19:41:23,081 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20251004_194123_080 ===
2025-10-04 19:41:23,081 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_194123_080/input.pdf (1017984 bytes)
2025-10-04 19:41:23,082 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-10-04 19:41:23,082 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-10-04 19:41:23,082 |     INFO |         log_mappings:  83 |   'Backpropagation' → 'Frontpropagation'
2025-10-04 19:41:23,082 |     INFO |         log_mappings:  83 |   'Rectified' → 'LECTIFIED'
2025-10-04 19:41:23,082 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-10-04 19:41:23,082 |     INFO |         log_mappings:  83 |   'Backpropagation' → 'Frontpropagation'
2025-10-04 19:41:23,083 |     INFO |         log_mappings:  83 |   'Rectified' → 'LECTIFIED'
2025-10-04 19:41:23,085 |     INFO | log_pattern_building:  99 | Building regex pattern for 2 words (ignore_case=True)
2025-10-04 19:41:23,085 |    DEBUG | log_pattern_building: 100 | Words to match: ['Backpropagation', 'Rectified']
2025-10-04 19:41:23,085 |    DEBUG | log_pattern_building: 101 | Compiled pattern: Backpropagation|Rectified
2025-10-04 19:41:23,097 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '!"#$%&\'%"(")*\'+,*+,-./&"0,'
2025-10-04 19:41:23,104 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '2\'3,)\',4&"*+,",-./&"0,-.)5'
2025-10-04 19:41:23,104 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '7/),*+,4&"*+*+(,*+%/)18,(.),)9.,\'/)%/)'
2025-10-04 19:41:23,104 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: ':\';%"&.,\'/)%/),)\',#\'&&.#),"+13.&1<,=\'\'$,"),0\'11,>/+#)*\'+,?'
2025-10-04 19:41:23,104 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '@AB/1),"+A,&.%.")C'
2025-10-04 19:41:23,105 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '!"#$%&\'%"(")*\'+,).001,/1,9\'3,)\',;"$.,",1*+(0.,"AB/1);.+),/1*+('
2025-10-04 19:41:23,105 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '#"0#/0/1D'
2025-10-04 19:41:23,105 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 0: '2\'3,)\',4&"*+,",-./&"0,-.)5 7/),*+,4&"*+*+(,*+%/)18,(.),)9.,\'/)%/) :\';%"&.,\'/)%/),)\',#\'&&.#),"+13.&1<,=\'\'$,"),0\'11,>/+#)*\'+,?'
2025-10-04 19:41:23,106 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 1: '7/),*+,4&"*+*+(,*+%/)18,(.),)9.,\'/)%/) :\';%"&.,\'/)%/),)\',#\'&&.#),"+13.&1<,=\'\'$,"),0\'11,>/+#)*\'+,? @AB/1),"+A,&.%.")C'
