2025-09-28 03:47:52,707 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250928_034752_706 ===
2025-09-28 03:47:52,713 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 2 mappings in overlay mode
2025-09-28 03:47:52,714 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20250928_034752_706/input.pdf (77879 bytes)
2025-09-28 03:47:52,714 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-09-28 03:47:52,714 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-09-28 03:47:52,714 |     INFO |         log_mappings:  83 |   'Overfitting' → 'Underfitting'
2025-09-28 03:47:52,714 |     INFO |         log_mappings:  83 |   'ReLU' → 'Adam'
2025-09-28 03:47:52,714 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-09-28 03:47:52,714 |     INFO |         log_mappings:  83 |   'Overfitting' → 'Underfitting'
2025-09-28 03:47:52,714 |     INFO |         log_mappings:  83 |   'ReLU' → 'Adam'
2025-09-28 03:47:52,728 |     INFO | log_pattern_building:  99 | Building regex pattern for 2 words (ignore_case=True)
2025-09-28 03:47:52,728 |    DEBUG | log_pattern_building: 100 | Words to match: ['Overfitting', 'ReLU']
2025-09-28 03:47:52,728 |    DEBUG | log_pattern_building: 101 | Compiled pattern: Overfitting|ReLU
2025-09-28 03:47:52,733 |     INFO | _apply_overlay_mode_mapping: 297 | Processing page 1 with 89 operations
2025-09-28 03:47:52,733 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 1: b'BT' with 0 operands
2025-09-28 03:47:52,733 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 2: b'Tf' with 2 operands
2025-09-28 03:47:52,733 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 3: b'Td' with 2 operands
2025-09-28 03:47:52,733 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 4: b'TJ' with 1 operands
2025-09-28 03:47:52,733 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['RNNs', 'and', 'LSTM', 'Quiz']
2025-09-28 03:47:52,733 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'RNNsandLSTMQuiz'
2025-09-28 03:47:52,733 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 5: b'Tf' with 2 operands
