2025-09-28 03:44:33,018 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250928_034433_017 ===
2025-09-28 03:44:33,018 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:44:33,018 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:44:33,018 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:44:33,018 |    DEBUG |    _rebuild_tj_array: 217 | Element 0: 'Ov' → 'Un'
2025-09-28 03:44:33,018 |    DEBUG |    _rebuild_tj_array: 217 | Element 1: 'ertting' → 'derfittin'
2025-09-28 03:44:33,018 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:44:33,018 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:44:33,018 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:44:33,018 |    DEBUG |    _rebuild_tj_array: 217 | Element 0: 'Ov' → 'Un'
2025-09-28 03:44:33,018 |    DEBUG |    _rebuild_tj_array: 217 | Element 1: 'erfitting' → 'derfittin'
2025-09-28 03:44:33,018 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:44:33,018 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 0: 'O' → 'U'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 1: 'ver' → 'nde'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 2: 'fitting' → 'rfittin'
2025-09-28 03:44:33,019 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 0: 'O' → 'U'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 1: 'v' → 'n'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 2: 'e' → 'd'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 3: 'r' → 'e'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 4: 'f' → 'r'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 5: 'i' → 'f'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 6: 't' → 'i'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 8: 'i' → 't'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 9: 'n' → 'i'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 10: 'g' → 'n'
2025-09-28 03:44:33,019 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 0: 'Ov' → 'Un'
2025-09-28 03:44:33,019 |    DEBUG |    _rebuild_tj_array: 217 | Element 1: 'ertting' → 'derfittin'
2025-09-28 03:44:33,019 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Over fitting'
2025-09-28 03:44:33,019 |    DEBUG |     process_tj_array:  50 | TJ Array - No replacements needed
2025-09-28 03:44:33,019 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting and ReLU'
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  55 | TJ Array - Applied 2 replacements
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:44:33,019 |     INFO |     process_tj_array:  57 |   'ReLU' → 'Adam' at positions 16-20
