2025-10-01 01:29:53,757 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20251001_012953_753 ===
2025-10-01 01:29:53,762 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 1 mappings in overlay mode
2025-10-01 01:29:53,762 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251001_012953_753/input.pdf (100123 bytes)
2025-10-01 01:29:53,762 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-10-01 01:29:53,762 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-10-01 01:29:53,763 |     INFO |         log_mappings:  83 |   'chicken' → 'kitten'
2025-10-01 01:29:53,763 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-10-01 01:29:53,763 |     INFO |         log_mappings:  83 |   'chicken' → 'kitten'
2025-10-01 01:29:53,796 |     INFO | log_pattern_building:  99 | Building regex pattern for 1 words (ignore_case=True)
2025-10-01 01:29:53,796 |    DEBUG | log_pattern_building: 100 | Words to match: ['chicken']
2025-10-01 01:29:53,796 |    DEBUG | log_pattern_building: 101 | Compiled pattern: chicken
2025-10-01 01:29:53,816 |     INFO | _apply_overlay_mode_mapping: 302 | Processing page 1 with 1543 operations
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 0: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 1: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 2: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 3: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 4: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 5: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 6: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 7: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 8: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 9: ''
2025-10-01 01:29:53,819 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 10: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 11: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 12: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 13: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 14: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 15: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 16: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 17: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 18: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 19: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 20: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 21: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 22: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 23: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 24: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 25: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 26: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 27: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 28: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 29: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 30: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 31: ''
2025-10-01 01:29:53,820 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 32: ''
2025-10-01 01:29:53,821 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 33: ''
2025-10-01 01:29:53,821 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 34: ''
