2025-09-30 15:35:21,647 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250930_153521_646 ===
2025-09-30 15:35:21,655 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 2 mappings in overlay mode
2025-09-30 15:35:21,656 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20250930_153521_646/input.pdf (214536 bytes)
2025-09-30 15:35:21,657 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-09-30 15:35:21,657 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-09-30 15:35:21,657 |     INFO |         log_mappings:  83 |   'foreign' → 'super'
2025-09-30 15:35:21,657 |     INFO |         log_mappings:  83 |   'Normalization' → 'dnormalzaton'
2025-09-30 15:35:21,657 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-09-30 15:35:21,657 |     INFO |         log_mappings:  83 |   'foreign' → 'super'
2025-09-30 15:35:21,657 |     INFO |         log_mappings:  83 |   'Normalization' → 'dnormalzaton'
2025-09-30 15:35:21,681 |     INFO | log_pattern_building:  99 | Building regex pattern for 3 words (ignore_case=True)
2025-09-30 15:35:21,681 |    DEBUG | log_pattern_building: 100 | Words to match: ['foreign', 'Normalization', 'normalization']
2025-09-30 15:35:21,681 |    DEBUG | log_pattern_building: 101 | Compiled pattern: normalization|Normalization|foreign
2025-09-30 15:35:21,691 |     INFO | _apply_overlay_mode_mapping: 302 | Processing page 1 with 1519 operations
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: ' '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Term: '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Fall 202'
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '5'
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '     '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Subject: '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Computer Science & Engineering (CSE)    '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Number: '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '512'
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: ' '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Course Title: D'
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'istributed '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'D'
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'atabase '
2025-09-30 15:35:21,692 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'S'
