2025-10-04 12:25:18,762 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20251004_122518_758 ===
2025-10-04 12:25:18,771 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 6 mappings in overlay mode
2025-10-04 12:25:18,772 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_122518_758/input.pdf (124349 bytes)
2025-10-04 12:25:18,772 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-10-04 12:25:18,772 |     INFO |         log_mappings:  81 | Word mappings to apply: 6 total
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '10' → '11'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '−10' → '--11'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '1000' → '100'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '∈[0,' → '∈[-1,'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   'decrease.' → 'increase'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   'whether' → 'that'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  81 | Word mappings to apply: 6 total
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '10' → '11'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '−10' → '--11'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '1000' → '100'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   '∈[0,' → '∈[-1,'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   'decrease.' → 'increase'
2025-10-04 12:25:18,773 |     INFO |         log_mappings:  83 |   'whether' → 'that'
2025-10-04 12:25:18,773 |     INFO | _apply_overlay_mode_mapping: 286 | Using PyMuPDF for overlay mode processing
2025-10-04 12:25:18,774 |     INFO | process_pdf_with_pymupdf: 367 | Processing PDF with PyMuPDF in overlay mode
2025-10-04 12:25:18,774 |     INFO | process_pdf_with_pymupdf: 368 | Pattern: decrease\.|whether|1000|∈\[0,|−10|10
2025-10-04 12:25:18,784 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:25:18,784 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:25:18,789 |     INFO | _process_page_overlay: 147 | Page 1: 'f(x) = 10 + x2 −10 cos(2πx),' → 'f(x) = 11 + x2 −11 cos(2πx),' at (214.06900024414062, 320.6227722167969, 345.4156188964844, 336.8284912109375)
2025-10-04 12:25:18,790 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:25:18,792 |     INFO | _process_page_overlay: 147 | Page 1: 'where a = 1.6 and b = 2.4. You can use a tolerance ϵ = 10−4 and maximum' → 'where a = 1.6 and b = 2.4. You can use a tolerance ϵ = 11−4 and maximum' at (132.76800537109375, 341.1799011230469, 478.4871520996094, 356.75848388671875)
2025-10-04 12:25:18,793 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:25:18,794 |     INFO | _process_page_overlay: 147 | Page 1: 'iterations 100. What is xmin and what is f(xmin) ?' → 'iterations 110. What is xmin and what is f(xmin) ?' at (132.76800537109375, 356.7508850097656, 357.3603820800781, 370.20745849609375)
2025-10-04 12:25:18,794 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:25:18,795 |     INFO | _process_page_overlay: 147 | Page 1: '100(x2' → '110(x2' at (258.8710021972656, 449.86163330078125, 289.3580627441406, 463.6014099121094)
2025-10-04 12:25:18,795 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:25:18,797 |     INFO | _process_page_overlay: 147 | Page 1: 'ϵ = 10−4 (stopping) ,' → 'ϵ = 11−4 (stopping) ,' at (283.2359619140625, 496.09576416015625, 377.515625, 512.1713562011719)
2025-10-04 12:25:18,797 |    DEBUG |         replace_func: 218 | Replacing '1000' with '100'
2025-10-04 12:25:18,798 |     INFO | _process_page_overlay: 147 | Page 1: 'M = 1000 (max iter)' → 'M = 100 (max iter)' at (387.1419677734375, 500.2087707519531, 481.0008850097656, 512.1713562011719)
2025-10-04 12:25:18,805 |    DEBUG |         replace_func: 218 | Replacing 'decrease.' with 'increase'
2025-10-04 12:25:18,820 |     INFO | _process_page_overlay: 147 | Page 2: 'fact decrease. Hint: You may use the definition of convexity: f(αx+(1−α)y) ≤' → 'fact increase Hint: You may use the definition of convexity: f(αx+(1−α)y) ≤' at (132.7680206298828, 163.86781311035156, 478.48199462890625, 175.95953369140625)
2025-10-04 12:25:18,822 |    DEBUG |         replace_func: 218 | Replacing 'whether' with 'that'
2025-10-04 12:25:18,827 |     INFO | _process_page_overlay: 147 | Page 2: 'on the data P, there may be other trivial separators. Prove whether f(x) is' → 'on the data P, there may be other trivial separators. Prove that f(x) is' at (132.7680206298828, 500.9537658691406, 478.4748229980469, 512.9163513183594)
2025-10-04 12:25:18,827 |     INFO | process_pdf_overlay_mode:  41 | Created 8 overlays across 2 pages
2025-10-04 12:25:18,872 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:25:18,909 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:25:18,926 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:25:18,932 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:25:18,945 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
