2025-10-04 12:17:41,576 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20251004_121741_571 ===
2025-10-04 12:17:41,585 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 3 mappings in overlay mode
2025-10-04 12:17:41,586 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_121741_571/input.pdf (124349 bytes)
2025-10-04 12:17:41,586 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  81 | Word mappings to apply: 3 total
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  83 |   '10' → '11'
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  83 |   '−10' → '--11'
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  83 |   '1000' → '100'
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  81 | Word mappings to apply: 3 total
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  83 |   '10' → '11'
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  83 |   '−10' → '--11'
2025-10-04 12:17:41,586 |     INFO |         log_mappings:  83 |   '1000' → '100'
2025-10-04 12:17:41,586 |     INFO | _apply_overlay_mode_mapping: 286 | Using PyMuPDF for overlay mode processing
2025-10-04 12:17:41,586 |     INFO | process_pdf_with_pymupdf: 367 | Processing PDF with PyMuPDF in overlay mode
2025-10-04 12:17:41,587 |     INFO | process_pdf_with_pymupdf: 368 | Pattern: 1000|−10|10
2025-10-04 12:17:41,597 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:17:41,597 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:17:41,601 |     INFO | _process_page_overlay: 147 | Page 1: 'f(x) = 10 + x2 −10 cos(2πx),' → 'f(x) = 11 + x2 −11 cos(2πx),' at (214.06900024414062, 320.6227722167969, 345.4156188964844, 336.8284912109375)
2025-10-04 12:17:41,601 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:17:41,604 |     INFO | _process_page_overlay: 147 | Page 1: 'where a = 1.6 and b = 2.4. You can use a tolerance ϵ = 10−4 and maximum' → 'where a = 1.6 and b = 2.4. You can use a tolerance ϵ = 11−4 and maximum' at (132.76800537109375, 341.1799011230469, 478.4871520996094, 356.75848388671875)
2025-10-04 12:17:41,604 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:17:41,606 |     INFO | _process_page_overlay: 147 | Page 1: 'iterations 100. What is xmin and what is f(xmin) ?' → 'iterations 110. What is xmin and what is f(xmin) ?' at (132.76800537109375, 356.7508850097656, 357.3603820800781, 370.20745849609375)
2025-10-04 12:17:41,606 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:17:41,607 |     INFO | _process_page_overlay: 147 | Page 1: '100(x2' → '110(x2' at (258.8710021972656, 449.86163330078125, 289.3580627441406, 463.6014099121094)
2025-10-04 12:17:41,607 |    DEBUG |         replace_func: 218 | Replacing '10' with '11'
2025-10-04 12:17:41,609 |     INFO | _process_page_overlay: 147 | Page 1: 'ϵ = 10−4 (stopping) ,' → 'ϵ = 11−4 (stopping) ,' at (283.2359619140625, 496.09576416015625, 377.515625, 512.1713562011719)
2025-10-04 12:17:41,609 |    DEBUG |         replace_func: 218 | Replacing '1000' with '100'
2025-10-04 12:17:41,610 |     INFO | _process_page_overlay: 147 | Page 1: 'M = 1000 (max iter)' → 'M = 100 (max iter)' at (387.1419677734375, 500.2087707519531, 481.0008850097656, 512.1713562011719)
2025-10-04 12:17:41,616 |     INFO | process_pdf_overlay_mode:  41 | Created 6 overlays across 2 pages
2025-10-04 12:17:41,655 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:17:41,707 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:17:41,723 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:17:41,733 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:17:41,746 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:17:41,751 |    DEBUG | _apply_overlays_pymupdf: 260 | Applied overlay on page 1
2025-10-04 12:17:41,757 |     INFO |       log_output_pdf: 190 | Output PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_121741_571/output.pdf (790639 bytes)
2025-10-04 12:17:41,757 |     INFO |         finalize_run: 222 | === Run Complete: 20251004_121741_571 (Duration: 0.18s) ===
2025-10-04 12:17:41,757 |     INFO |         finalize_run: 223 | Run directory: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_121741_571
2025-10-04 12:17:41,757 |     INFO |         finalize_run: 224 | Metadata saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_121741_571/run_metadata.json
2025-10-04 12:17:41,757 |     INFO |         finalize_run: 233 | Run completed successfully with 3 mappings applied
