2025-10-04 12:30:16,454 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20251004_123016_449 ===
2025-10-04 12:30:16,460 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 8 mappings in overlay mode
2025-10-04 12:30:16,461 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_123016_449/input.pdf (124349 bytes)
2025-10-04 12:30:16,461 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-10-04 12:30:16,461 |     INFO |         log_mappings:  81 | Word mappings to apply: 8 total
2025-10-04 12:30:16,461 |     INFO |         log_mappings:  83 |   '10' → '11'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   '−10' → '--11'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   '1000' → '100'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'decrease.' → 'increase'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'whether' → 'false'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'regression' → 'clsfctin'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'one' → '2'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'quadratic' → 'linear'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  81 | Word mappings to apply: 8 total
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   '10' → '11'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   '−10' → '--11'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   '1000' → '100'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'decrease.' → 'increase'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'whether' → 'false'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'regression' → 'clsfctin'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'one' → '2'
2025-10-04 12:30:16,462 |     INFO |         log_mappings:  83 |   'quadratic' → 'linear'
2025-10-04 12:30:16,462 |     INFO | _apply_overlay_mode_mapping: 286 | Using PyMuPDF for overlay mode processing
2025-10-04 12:30:16,463 |     INFO | process_pdf_with_pymupdf: 367 | Processing PDF with PyMuPDF in overlay mode
2025-10-04 12:30:16,463 |     INFO | process_pdf_with_pymupdf: 368 | Pattern: regression|decrease\.|quadratic|whether|1000|−10|one|10
