2025-10-04 17:28:08,294 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20251004_172808_293 ===
2025-10-04 17:28:08,427 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 1 mappings in overlay mode
2025-10-04 17:28:08,428 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_172808_293/input.pdf (3574534 bytes)
2025-10-04 17:28:08,429 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-10-04 17:28:08,429 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-10-04 17:28:08,429 |     INFO |         log_mappings:  83 |   'Pretraining' → 'Pertraining'
2025-10-04 17:28:08,429 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-10-04 17:28:08,429 |     INFO |         log_mappings:  83 |   'Pretraining' → 'Pertraining'
2025-10-04 17:28:08,435 |     INFO | log_pattern_building:  99 | Building regex pattern for 1 words (ignore_case=True)
2025-10-04 17:28:08,435 |    DEBUG | log_pattern_building: 100 | Words to match: ['Pretraining']
2025-10-04 17:28:08,435 |    DEBUG | log_pattern_building: 101 | Compiled pattern: Pretraining
2025-10-04 17:28:08,440 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 0: ''
2025-10-04 17:28:08,441 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 1: ''
2025-10-04 17:28:08,441 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 2: ''
2025-10-04 17:28:08,441 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 3: ''
2025-10-04 17:28:08,441 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 4: ''
2025-10-04 17:28:08,442 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '!"#$%&#\'&()*)*+$&#,-./\')-*'
2025-10-04 17:28:08,442 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "0()*1$2&-3$%&#'&()*#4$.(*+/(+#$3-4#.1"
2025-10-04 17:28:08,443 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '5&#\'&()*)*+$"(1$"(4$($3(6-&7$\'(*+)8.#$)3%(9\'$-*$"-:$:#..$;<5$1=1\'#31$:-&>'
2025-10-04 17:28:08,443 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 0: '!"#$%&#\'&()*)*+$&#,-./\')-* 0()*1$2&-3$%&#\'&()*#4$.(*+/(+#$3-4#.1 5&#\'&()*)*+$"(1$"(4$($3(6-&7$\'(*+)8.#$)3%(9\'$-*$"-:$:#..$;<5$1=1\'#31$:-&>'
2025-10-04 17:28:08,444 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 1: '0()*1$2&-3$%&#\'&()*#4$.(*+/(+#$3-4#.1 5&#\'&()*)*+$"(1$"(4$($3(6-&7$\'(*+)8.#$)3%(9\'$-*$"-:$:#..$;<5$1=1\'#31$:-&>'
2025-10-04 17:28:08,448 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "5&#'&()*)*+$"
2025-10-04 17:28:08,448 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '19(.)*+$/*1/%#&,)1#4$.#(&*)*+$-*$\'"#$)*\'#&*#\''
2025-10-04 17:28:08,448 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '!"#$%&"\'($%)$*+",+\'%)%)-'
2025-10-04 17:28:08,449 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '?(>#$1/&#$=-/&$3-4#.$9(*$%&-9#11$.(&+#'
2025-10-04 17:28:08,449 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "19(.#7$4),#&1#$4('(1#'1"
2025-10-04 17:28:08,449 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '}voffio~}Z]}voJ'
2025-10-04 17:28:08,449 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "A-3%/'#"
2025-10-04 17:28:08,449 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '(:(&#$19(.)*+$'
2025-10-04 17:28:08,450 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 0: '5&#\'&()*)*+$ 19(.)*+$/*1/%#&,)1#4$.#(&*)*+$-*$\'"#$)*\'#&*#\' !"#$%&"\'($%)$*+",+\'%)%)-'
2025-10-04 17:28:08,450 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 1: '19(.)*+$/*1/%#&,)1#4$.#(&*)*+$-*$\'"#$)*\'#&*#\' !"#$%&"\'($%)$*+",+\'%)%)- ?(>#$1/&#$=-/&$3-4#.$9(*$%&-9#11$.(&+#'
2025-10-04 17:28:08,450 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 2: '!"#$%&"\'($%)$*+",+\'%)%)- ?(>#$1/&#$=-/&$3-4#.$9(*$%&-9#11$.(&+# 19(.#7$4),#&1#$4(\'(1#\'1'
2025-10-04 17:28:08,451 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 3: "?(>#$1/&#$=-/&$3-4#.$9(*$%&-9#11$.(&+# 19(.#7$4),#&1#$4('(1#'1 }voffio~}Z]}voJ"
2025-10-04 17:28:08,452 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 4: "19(.#7$4),#&1#$4('(1#'1 }voffio~}Z]}voJ A-3%/'#"
2025-10-04 17:28:08,453 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 5: "}voffio~}Z]}voJ A-3%/'# (:(&#$19(.)*+$"
2025-10-04 17:28:08,453 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 6: "A-3%/'# (:(&#$19(.)*+$"
2025-10-04 17:28:08,462 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "B-&4$1'&/9'/&#$(*4$"
2025-10-04 17:28:08,462 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '1/8:-&4'
2025-10-04 17:28:08,462 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '3-4#.1'
2025-10-04 17:28:08,462 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '[l}}Zu]}v[ffi}vPP[ffioX'
2025-10-04 17:28:08,463 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: 'B#$(11/3#$($2)D#4$,-9(8$-2$\'#*1$-2$\'"-/1(*41$-2$:-&417$8/).\'$2&-3$\'"#$\'&()*)*+$1#\'E'
2025-10-04 17:28:08,463 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: 'F..$'
2025-10-04 17:28:08,463 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '!"#$%'
2025-10-04 17:28:08,463 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: ":-&41$1##*$('$'#1'$')3#$(&#$3(%%#4$'-$($1)*+.#$G;HE"
2025-10-04 17:28:08,463 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: ':-&4'
2025-10-04 17:28:08,463 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: ',-9(8$3(%%)*+'
2025-10-04 17:28:08,465 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '#38#44)*+'
2025-10-04 17:28:08,465 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '"(\'$'
2025-10-04 17:28:08,465 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '%)II($J)*4#DK'
2025-10-04 17:28:08,465 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '.#(&*$'
2025-10-04 17:28:08,465 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "'(1'=$J)*4#DK"
2025-10-04 17:28:08,466 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "'(((((1'="
2025-10-04 17:28:08,466 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: 'G;H$J)*4#DK'
2025-10-04 17:28:08,466 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '.(#&*'
2025-10-04 17:28:08,466 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: 'G;H$J)*4#DK'
2025-10-04 17:28:08,466 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '!&(*12-&3#&)2='
2025-10-04 17:28:08,467 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: 'G;H$J)*4#DK'
2025-10-04 17:28:08,467 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: 'A-33-*$'
2025-10-04 17:28:08,467 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: ':-&41'
2025-10-04 17:28:08,467 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "L(&)(')-*1"
2025-10-04 17:28:08,467 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: '3)11%#..)*+1'
2025-10-04 17:28:08,467 |    DEBUG |     process_tj_array:  90 | TJ Array - Combined text: "*-,#.$)'#31"
2025-10-04 17:28:08,467 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 0: "B-&4$1'&/9'/&#$(*4$ 1/8:-&4 3-4#.1"
2025-10-04 17:28:08,467 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 1: '1/8:-&4 3-4#.1 [l}}Zu]}v[ffi}vPP[ffioX'
2025-10-04 17:28:08,468 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 2: '3-4#.1 [l}}Zu]}v[ffi}vPP[ffioX B#$(11/3#$($2)D#4$,-9(8$-2$\'#*1$-2$\'"-/1(*41$-2$:-&417$8/).\'$2&-3$\'"#$\'&()*)*+$1#\'E'
2025-10-04 17:28:08,468 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 3: '[l}}Zu]}v[ffi}vPP[ffioX B#$(11/3#$($2)D#4$,-9(8$-2$\'#*1$-2$\'"-/1(*41$-2$:-&417$8/).\'$2&-3$\'"#$\'&()*)*+$1#\'E F..$'
2025-10-04 17:28:08,468 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 4: 'B#$(11/3#$($2)D#4$,-9(8$-2$\'#*1$-2$\'"-/1(*41$-2$:-&417$8/).\'$2&-3$\'"#$\'&()*)*+$1#\'E F..$ !"#$%'
2025-10-04 17:28:08,469 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 5: 'F..$ !"#$% :-&41$1##*$(\'$\'#1\'$\')3#$(&#$3(%%#4$\'-$($1)*+.#$G;HE'
2025-10-04 17:28:08,469 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 6: '!"#$% :-&41$1##*$(\'$\'#1\'$\')3#$(&#$3(%%#4$\'-$($1)*+.#$G;HE :-&4'
2025-10-04 17:28:08,469 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 7: ":-&41$1##*$('$'#1'$')3#$(&#$3(%%#4$'-$($1)*+.#$G;HE :-&4 ,-9(8$3(%%)*+"
2025-10-04 17:28:08,469 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 8: ':-&4 ,-9(8$3(%%)*+ #38#44)*+'
2025-10-04 17:28:08,469 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 9: ',-9(8$3(%%)*+ #38#44)*+ "(\'$'
