2025-09-28 03:42:17,098 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250928_034217_098 ===
2025-09-28 03:42:17,098 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overtting'
2025-09-28 03:42:17,098 |    DEBUG |     process_tj_array:  50 | TJ Array - No replacements needed
2025-09-28 03:42:17,098 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:42:17,098 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:42:17,098 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 0: 'Ov' → 'Un'
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 1: 'erfitting' → 'derfittin'
2025-09-28 03:42:17,099 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:42:17,099 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:42:17,099 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 0: 'O' → 'U'
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 1: 'ver' → 'nde'
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 2: 'fitting' → 'rfittin'
2025-09-28 03:42:17,099 |    DEBUG |     process_tj_array:  44 | TJ Array - Full text: 'Overfitting'
2025-09-28 03:42:17,099 |     INFO |     process_tj_array:  55 | TJ Array - Applied 1 replacements
2025-09-28 03:42:17,099 |     INFO |     process_tj_array:  57 |   'Overfitting' → 'Underfitting' at positions 0-11
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 0: 'O' → 'U'
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 1: 'v' → 'n'
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 2: 'e' → 'd'
2025-09-28 03:42:17,099 |    DEBUG |    _rebuild_tj_array: 200 | Element 3: 'r' → 'e'
